player_id,date,home_game,opp,TOI,saves,save_perc,goals_against,shots_against,decision,shutout,save_pctg,ot,fantasy_points
8471774,2023-01-14,True,SEA,47:50,21,0.84,4,25,L,0,0.84,0,0.6999999999999993
8471774,2023-01-08,True,CGY,61:04,44,0.93617,3,47,W,0,0.93617,0,26.299999999999997
8471774,2023-01-06,True,ARI,59:57,22,1.0,0,22,W,1,1.0,0,25.4
8471774,2023-01-03,True,TBL,58:48,25,0.892857,3,28,L,0,0.892857,0,7.0
8471774,2022-12-31,False,@CBJ,58:09,34,0.918919,3,37,L,0,0.918919,0,13.299999999999997
8475852,2023-02-17,False,@OTT,62:52,28,0.903226,3,31,W,0,0.903226,0,15.099999999999998
8475852,2023-02-15,False,@TOR,60:00,37,0.880952,5,42,L,0,0.880952,0,8.399999999999999
8475852,2023-02-11,False,@WPG,56:37,24,0.888889,3,27,L,0,0.888889,0,6.299999999999997
8475852,2023-02-07,True,ANA,62:15,23,0.884615,3,26,O,0,0.884615,1,7.599999999999998
8475852,2023-01-28,False,@EDM,60:00,36,0.837209,7,43,L,0,0.837209,0,0.6999999999999993
8483530,2023-02-19,True,TOR,60:00,32,0.914286,3,35,W,0,0.914286,0,17.9
8483530,2023-02-14,False,@MTL,60:00,27,0.870968,4,31,L,0,0.870968,0,4.899999999999999
8483530,2023-02-10,True,ARI,63:30,23,0.884615,3,26,W,0,0.884615,0,11.599999999999998
8483530,2023-01-26,False,@CGY,60:00,34,0.971429,1,35,W,0,0.971429,0,26.299999999999997
8483530,2023-01-21,False,@STL,60:00,29,0.90625,3,32,W,0,0.90625,0,15.799999999999997
8476433,2023-02-16,False,@CGY,59:56,33,0.942857,2,35,W,0,0.942857,0,22.099999999999998
8476433,2023-01-27,False,@NYI,56:40,27,0.931034,2,29,L,0,0.931034,0,11.899999999999999
8476433,2023-01-17,False,@ARI,65:00,20,0.869565,3,23,O,0,0.869565,1,5.5
8476433,2023-01-07,False,@TOR,58:39,25,0.892857,3,28,L,0,0.892857,0,7.0
8478024,2023-02-18,False,@SEA,57:28,22,0.846154,4,26,L,0,0.846154,0,1.3999999999999986
8478024,2023-02-15,False,@EDM,64:50,41,0.911111,4,45,W,0,0.911111,0,20.7
8478024,2023-02-13,False,@VAN,59:32,29,0.966667,1,30,W,0,0.966667,0,22.799999999999997
8478024,2023-02-11,True,VAN,59:00,32,0.941176,2,34,W,0,0.941176,0,21.4
8478024,2023-02-09,True,CGY,60:00,35,0.972222,1,36,W,0,0.972222,0,27.0
8477424,2023-02-19,False,@MIN,58:57,31,0.885714,4,35,L,0,0.885714,0,7.699999999999999
8477424,2023-02-16,True,BOS,60:00,25,0.833333,5,30,L,0,0.833333,0,0.0
8477424,2023-02-11,False,@PHI,60:11,23,0.958333,1,24,W,0,0.958333,0,18.599999999999998
8477424,2023-02-07,True,VGK,57:41,25,0.862069,4,29,L,0,0.862069,0,3.5
8477424,2023-01-26,True,NJD,60:00,35,0.897436,4,39,W,0,0.897436,0,16.5
8480947,2023-02-18,True,FLA,60:00,30,0.909091,3,33,W,0,0.909091,0,16.5
8480947,2023-02-13,True,ARI,59:02,15,0.833333,3,18,L,0,0.833333,0,0.0
8480947,2023-01-17,True,CBJ,60:00,39,0.975,1,40,W,0,0.975,0,29.799999999999997
8480947,2023-01-06,False,@WSH,60:00,30,0.9375,2,32,W,0,0.9375,0,20.0
8480947,2022-12-31,False,@VGK,60:44,27,0.84375,5,32,O,0,0.84375,1,3.3999999999999986
8471306,2023-02-19,False,@OTT,59:31,27,0.794118,7,34,L,0,0.794118,0,-5.600000000000001
8471306,2023-01-26,False,@ARI,60:00,21,0.84,5,25,L,0,0.84,0,-2.8000000000000007
8471306,2023-01-12,True,CGY,59:36,36,0.923077,3,39,L,0,0.923077,0,14.7
8471306,2023-01-08,False,@MIN,59:44,35,1.0,0,35,W,1,1.0,0,34.5
8476412,2023-02-18,True,COL,59:34,29,0.878788,4,33,L,0,0.878788,0,6.299999999999997
8476412,2023-02-16,True,NJD,60:00,34,0.944444,2,36,W,0,0.944444,0,22.799999999999997
8476412,2023-02-14,True,FLA,59:40,34,0.944444,2,36,W,0,0.944444,0,22.799999999999997
8476412,2023-02-11,True,ARI,61:02,23,0.821429,5,28,W,0,0.821429,0,4.599999999999998
8476412,2023-01-30,False,@WPG,58:48,35,0.921053,3,38,L,0,0.921053,0,14.0
8474593,2023-02-18,True,NYR,61:26,18,0.9,2,20,W,0,0.9,0,11.6
8474593,2023-02-13,False,@OTT,61:31,21,0.84,4,25,O,0,0.84,1,2.6999999999999993
8474593,2023-02-11,False,@BUF,60:00,21,0.913043,2,23,W,0,0.913043,0,13.7
8474593,2023-02-06,False,@NYR,61:20,28,0.848485,5,33,O,0,0.848485,1,4.099999999999998
8474593,2023-01-26,True,CHI,57:02,24,0.857143,4,28,L,0,0.857143,0,2.799999999999997
8478435,2023-02-16,True,DET,60:00,19,0.791667,5,24,L,0,0.791667,0,-4.200000000000001
8478435,2023-02-09,False,@DET,58:50,15,0.882353,2,17,L,0,0.882353,0,3.5
8478435,2023-01-27,False,@SEA,60:00,28,0.933333,2,30,W,0,0.933333,0,18.599999999999998
8478435,2023-01-23,True,CBJ,62:25,22,0.88,3,25,W,0,0.88,0,10.899999999999999
8478435,2023-01-21,True,TBL,59:52,21,0.875,3,24,W,0,0.875,0,10.2
8480382,2023-02-19,True,EDM,64:38,35,0.875,5,40,W,0,0.875,0,13.0
8480382,2023-02-15,False,@MIN,60:00,41,0.953488,2,43,W,0,0.953488,0,27.7
8480382,2023-02-14,True,TBL,65:00,32,0.914286,3,35,O,0,0.914286,1,13.899999999999999
8480382,2023-02-11,False,@FLA,60:00,42,0.933333,3,45,W,0,0.933333,0,24.9
8480382,2023-02-09,False,@TBL,59:44,27,0.84375,5,32,L,0,0.84375,0,1.3999999999999986
8480925,2023-02-07,False,@PIT,63:27,36,0.947368,2,38,O,0,0.947368,1,20.2
8480925,2023-01-26,True,ANA,58:37,27,0.870968,4,31,L,0,0.870968,0,4.899999999999999
8480925,2023-01-21,False,@SEA,65:00,26,0.962963,1,27,W,0,0.962963,0,20.7
8480925,2023-01-16,True,DET,59:52,26,0.896552,3,29,W,0,0.896552,0,13.7
8480925,2023-01-14,True,OTT,60:00,29,1.0,0,29,W,1,1.0,0,30.299999999999997
8475789,2023-02-19,False,@COL,64:09,36,0.857143,6,42,O,0,0.857143,1,6.199999999999999
8475789,2023-02-17,True,NYR,64:54,34,0.894737,4,38,O,0,0.894737,1,11.799999999999997
8475789,2023-02-15,True,DET,64:46,19,0.826087,4,23,O,0,0.826087,1,1.299999999999999
8475789,2023-02-11,False,@OTT,59:43,26,0.896552,3,29,W,0,0.896552,0,13.7
8475789,2023-02-07,False,@DET,59:46,30,0.9375,2,32,W,0,0.9375,0,20.0
8479973,2023-02-12,False,@MTL,59:16,24,0.8,6,30,L,0,0.8,0,-4.200000000000003
8479973,2023-02-09,False,@PHI,65:00,35,0.972222,1,36,O,0,0.972222,1,23.0
8479973,2023-01-25,True,CBJ,62:29,24,0.888889,3,27,O,0,0.888889,1,8.299999999999997
8479973,2023-01-21,False,@VAN,60:00,27,0.931034,2,29,W,0,0.931034,0,17.9
8477967,2022-12-01,True,FLA,18:56,15,0.833333,3,18,L,0,0.833333,0,0.0
8477967,2022-11-27,False,@SJS,61:12,32,0.914286,3,35,W,0,0.914286,0,17.9
8477967,2022-11-21,True,VGK,57:56,33,0.868421,5,38,L,0,0.868421,0,5.599999999999998
8477967,2022-11-18,True,LAK,60:00,37,0.973684,1,38,W,0,0.973684,0,28.4
8477967,2022-11-13,False,@BOS,58:43,28,0.875,4,32,L,0,0.875,0,5.599999999999998
8477484,2023-02-11,False,@DET,60:00,20,0.8,5,25,L,0,0.8,0,-3.5
8477484,2023-02-08,False,@NYR,58:42,17,0.809524,4,21,L,0,0.809524,0,-2.1000000000000014
8477484,2023-01-25,False,@SEA,60:00,29,0.828571,6,35,L,0,0.828571,0,-0.7000000000000028
8477484,2023-01-21,True,EDM,59:14,25,0.892857,3,28,L,0,0.892857,0,7.0
8477484,2023-01-18,True,TBL,14:35,6,0.6,4,10,L,0,0.6,0,-9.8
8480420,2023-02-13,True,DET,60:00,17,0.73913,6,23,L,0,0.73913,0,-9.100000000000001
8480420,2023-02-09,False,@NYI,59:38,24,0.827586,5,29,W,0,0.827586,0,5.299999999999997
8480420,2023-02-06,False,@NJD,64:18,29,0.852941,5,34,O,0,0.852941,1,4.799999999999997
8480420,2023-01-27,True,CBJ,60:00,24,0.923077,2,26,W,0,0.923077,0,15.799999999999997
8480420,2023-01-24,True,CHI,60:00,12,0.857143,2,14,W,0,0.857143,0,7.399999999999999
8481668,2023-02-18,True,PHI,60:00,35,0.945946,2,37,W,0,0.945946,0,23.5
8481668,2023-02-15,True,NYR,58:44,22,0.814815,5,27,L,0,0.814815,0,-2.1000000000000014
8476434,2023-02-20,False,@FLA,61:42,51,0.927273,4,55,O,0,0.927273,1,23.699999999999996
8476434,2023-02-17,True,LAK,58:38,35,0.875,5,40,L,0,0.875,0,7.0
8476434,2023-02-12,False,@VGK,59:17,32,0.820513,7,39,L,0,0.820513,0,-2.1000000000000014
8476434,2023-02-10,True,PIT,60:00,53,0.898305,6,59,L,0,0.898305,0,16.099999999999994
8476434,2023-02-06,False,@DAL,64:54,39,0.95122,2,41,O,0,0.95122,1,22.299999999999997
8476932,2023-02-07,False,@CHI,62:15,27,0.931034,2,29,W,0,0.931034,0,17.9
8476932,2023-01-24,False,@ARI,59:55,37,0.948718,2,39,W,0,0.948718,0,24.9
8476932,2023-01-17,False,@PHI,59:49,34,0.894737,4,38,L,0,0.894737,0,9.799999999999997
8480843,2023-02-15,True,BUF,60:00,37,0.840909,7,44,L,0,0.840909,0,1.3999999999999986
8480843,2022-12-23,True,CGY,62:24,42,0.933333,3,45,O,0,0.933333,1,20.9
8480843,2022-12-21,True,MIN,59:31,38,0.926829,3,41,L,0,0.926829,0,16.099999999999998
8480843,2022-12-20,False,@LAK,59:29,37,0.902439,4,41,L,0,0.902439,0,11.899999999999999
8480843,2022-12-17,False,@EDM,60:00,46,0.938776,3,49,W,0,0.938776,0,27.699999999999996
8475809,2023-02-18,True,CBJ,59:25,33,0.916667,3,36,L,0,0.916667,0,12.599999999999998
8475809,2023-02-11,True,TBL,59:43,28,0.933333,2,30,L,0,0.933333,0,12.599999999999998
8475809,2023-01-19,False,@LAK,60:00,34,1.0,0,34,W,1,1.0,0,33.8
8475809,2023-01-14,True,CGY,57:56,30,0.833333,6,36,L,0,0.833333,0,0.0
8475809,2023-01-04,False,@ANA,57:08,25,0.925926,2,27,L,0,0.925926,0,10.5
8479979,2023-02-17,False,@MIN,64:54,31,0.96875,1,32,O,0,0.96875,1,20.2
8479979,2023-02-14,True,BOS,63:30,34,0.918919,3,37,O,0,0.918919,1,15.299999999999997
8479979,2023-02-08,True,MIN,60:00,38,0.974359,1,39,W,0,0.974359,0,29.099999999999998
8479979,2023-02-06,True,ANA,65:00,32,0.941176,2,34,W,0,0.941176,0,21.4
8479979,2023-01-27,True,NJD,60:20,26,0.896552,3,29,O,0,0.896552,1,9.7
8471734,2023-02-18,True,ARI,64:32,27,0.84375,5,32,W,0,0.84375,0,7.399999999999999
8471734,2023-02-17,False,@ANA,20:24,8,0.8,2,10,W,0,0.8,0,4.6
8471734,2023-01-28,False,@TBL,57:30,20,0.8,5,25,L,0,0.8,0,-3.5
8471734,2023-01-21,False,@NSH,56:12,22,0.88,3,25,L,0,0.88,0,4.899999999999999
8477831,2023-02-13,True,BUF,60:00,27,0.931034,2,29,W,0,0.931034,0,17.9
8477831,2023-02-11,True,PIT,60:00,25,1.0,0,25,W,1,1.0,0,27.5
8477831,2023-01-31,False,@CAR,64:06,25,0.833333,5,30,O,0,0.833333,1,2.0
8477831,2023-01-27,False,@FLA,59:21,45,0.9375,3,48,W,0,0.9375,0,26.999999999999996
8473503,2023-01-27,False,@CAR,60:55,31,0.861111,5,36,O,0,0.861111,1,6.199999999999999
8473503,2023-01-24,False,@DET,60:25,32,0.914286,3,35,O,0,0.914286,1,13.899999999999999
8473503,2023-01-22,False,@BOS,60:00,18,0.818182,4,22,L,0,0.818182,0,-1.4000000000000004
8473503,2023-01-18,True,DAL,60:00,33,0.916667,3,36,W,0,0.916667,0,18.599999999999998
8473503,2023-01-16,True,NJD,65:00,38,0.926829,3,41,O,0,0.926829,1,18.099999999999998
8478039,2023-02-18,True,BUF,57:44,27,0.9,3,30,L,0,0.9,0,8.399999999999999
8478039,2023-02-16,False,@VGK,59:32,36,0.947368,2,38,L,0,0.947368,0,18.2
8478039,2023-02-12,False,@WSH,37:04,12,0.923077,1,13,W,0,0.923077,0,10.899999999999999
8478039,2023-02-09,False,@FLA,58:57,38,0.95,2,40,L,0,0.95,0,19.599999999999998
